row_index,file_a,file_b,label,clone_type_original,logistic_regression_pred,logistic_regression_acerto
1,submission1.py,submission3.py,0,0,2,False
3,submission1.py,submission5.py,0,0,2,False
4,submission2.py,submission3.py,0,0,2,False
6,submission2.py,submission5.py,0,0,2,False
8,submission3.py,submission5.py,0,0,2,False
11,submission8.py,submission9.py,1,2,1,False
14,submission16.py,submission17.py,1,3,0,False
17,submission22.py,submission23.py,1,3,2,False
21,submission30.py,submission31.py,0,0,3,False
24,submission35.py,submission36.py,0,0,3,False
34,submission40.py,submission41.py,1,2,3,False
36,submission41.py,submission42.py,1,2,3,False
37,submission40.py,submission43.py,0,0,3,False
38,submission41.py,submission43.py,0,0,3,False
39,submission42.py,submission43.py,0,0,3,False
48,submission46.py,submission48.py,0,0,3,False
49,submission47.py,submission48.py,0,0,3,False
53,submission48.py,submission49.py,0,0,3,False
60,submission50.py,submission54.py,1,3,2,False
62,submission52.py,submission54.py,1,3,2,False
71,submission56.py,submission59.py,0,0,3,False
72,submission57.py,submission59.py,0,0,3,False
94,submission67.py,submission68.py,1,3,0,False
101,submission68.py,submission71.py,0,0,2,False
114,submission75.py,submission76.py,0,0,3,False
165,submission102.py,submission104.py,1,2,3,False
169,submission104.py,submission105.py,1,3,0,False
174,submission107.py,submission108.py,1,3,1,False
175,submission107.py,submission109.py,1,3,1,False
184,submission112.py,submission113.py,1,2,1,False
187,submission112.py,submission115.py,1,2,1,False
188,submission113.py,submission115.py,1,2,1,False
236,submission138.py,submission139.py,1,3,0,False
239,submission139.py,submission140.py,0,0,3,False
