row_index,file_a,file_b,label,clone_type_original,random_forest_pred,random_forest_acerto
11,submission8.py,submission9.py,1,2,0,False
22,submission30.py,submission31.py,0,0,3,False
33,submission37.py,submission39.py,0,0,2,False
43,submission42.py,submission44.py,0,0,2,False
46,submission45.py,submission47.py,1,2,0,False
51,submission45.py,submission49.py,0,0,2,False
63,submission52.py,submission54.py,1,3,0,False
80,submission61.py,submission62.py,1,3,0,False
95,submission67.py,submission68.py,1,3,0,False
110,submission73.py,submission74.py,1,3,0,False
123,submission78.py,submission81.py,1,3,0,False
129,submission82.py,submission85.py,1,3,0,False
151,submission94.py,submission95.py,1,0,3,False
168,submission103.py,submission104.py,1,3,0,False
169,submission102.py,submission105.py,1,3,0,False
176,submission107.py,submission108.py,1,0,2,False
177,submission107.py,submission109.py,1,3,2,False
178,submission108.py,submission109.py,0,0,2,False
179,submission107.py,submission110.py,0,0,3,False
180,submission108.py,submission110.py,1,3,0,False
181,submission109.py,submission110.py,0,0,3,False
187,submission112.py,submission114.py,1,3,0,False
189,submission112.py,submission115.py,0,0,2,False
190,submission113.py,submission115.py,1,0,2,False
196,submission117.py,submission118.py,1,3,0,False
197,submission117.py,submission119.py,1,0,2,False
200,submission118.py,submission120.py,1,0,2,False
206,submission122.py,submission123.py,1,3,0,False
207,submission122.py,submission124.py,1,3,0,False
209,submission122.py,submission125.py,0,0,3,False
210,submission123.py,submission125.py,1,3,0,False
212,submission122.py,submission126.py,0,0,3,False
213,submission123.py,submission126.py,0,0,3,False
217,submission127.py,submission129.py,0,0,3,False
218,submission128.py,submission129.py,1,3,0,False
219,submission127.py,submission130.py,0,0,3,False
221,submission129.py,submission130.py,1,3,0,False
230,submission133.py,submission135.py,0,0,2,False
238,submission138.py,submission139.py,1,3,0,False
239,submission137.py,submission140.py,1,3,0,False
247,submission142.py,submission143.py,1,3,0,False
252,submission144.py,submission145.py,0,0,1,False
359,submission307.py,submission308.py,1,3,1,False
364,submission317.py,submission318.py,1,3,0,False
366,submission321.py,submission322.py,1,3,0,False
