row_index,file_a,file_b,label,clone_type_original,random_forest_pred,random_forest_acerto
11,submission8.py,submission9.py,1,2,0,False
22,submission30.py,submission31.py,0,0,3,False
33,submission37.py,submission39.py,0,0,2,False
35,submission40.py,submission41.py,0,0,3,False
43,submission42.py,submission44.py,0,0,2,False
46,submission45.py,submission47.py,1,2,0,False
56,submission50.py,submission52.py,1,2,0,False
63,submission52.py,submission54.py,1,3,0,False
68,submission55.py,submission58.py,1,2,0,False
80,submission61.py,submission62.py,1,3,0,False
81,submission61.py,submission63.py,0,0,2,False
95,submission67.py,submission68.py,1,3,0,False
121,submission79.py,submission80.py,0,0,3,False
129,submission82.py,submission85.py,1,3,0,False
172,submission102.py,submission106.py,0,0,3,False
176,submission107.py,submission108.py,1,3,2,False
177,submission107.py,submission109.py,1,3,1,False
178,submission108.py,submission109.py,0,0,2,False
179,submission107.py,submission110.py,0,0,3,False
180,submission108.py,submission110.py,1,3,0,False
189,submission112.py,submission115.py,0,0,2,False
190,submission113.py,submission115.py,1,3,2,False
196,submission117.py,submission118.py,1,3,0,False
197,submission117.py,submission119.py,0,0,2,False
200,submission118.py,submission120.py,0,0,2,False
209,submission122.py,submission125.py,0,0,3,False
212,submission122.py,submission126.py,0,0,3,False
213,submission123.py,submission126.py,0,0,3,False
216,submission127.py,submission128.py,1,3,0,False
218,submission128.py,submission129.py,1,3,0,False
221,submission129.py,submission130.py,1,3,0,False
222,submission127.py,submission131.py,0,0,3,False
230,submission133.py,submission135.py,0,0,2,False
236,submission137.py,submission138.py,1,3,0,False
238,submission138.py,submission139.py,1,3,0,False
247,submission142.py,submission143.py,1,3,0,False
252,submission144.py,submission145.py,0,0,1,False
254,submission143.py,submission146.py,0,0,2,False
348,submission285.py,submission286.py,1,3,0,False
357,submission303.py,submission304.py,1,3,0,False
359,submission307.py,submission308.py,1,3,1,False
