row_index,file_a,file_b,label,clone_type_original,logistic_regression_pred,logistic_regression_acerto
14,submission16.py,submission17.py,1,3,0,False
17,submission22.py,submission23.py,1,3,2,False
21,submission30.py,submission31.py,0,0,3,False
23,submission33.py,submission34.py,0,0,3,False
34,submission40.py,submission41.py,1,2,3,False
35,submission40.py,submission42.py,1,2,1,False
36,submission41.py,submission42.py,1,2,3,False
37,submission40.py,submission43.py,0,0,3,False
41,submission41.py,submission44.py,1,2,3,False
44,submission45.py,submission46.py,0,0,3,False
55,submission50.py,submission52.py,1,2,3,False
62,submission52.py,submission54.py,1,3,2,False
67,submission55.py,submission58.py,1,2,3,False
68,submission56.py,submission58.py,0,0,3,False
70,submission55.py,submission59.py,0,0,3,False
73,submission58.py,submission59.py,0,0,3,False
74,submission55.py,submission60.py,0,0,3,False
77,submission58.py,submission60.py,0,0,3,False
80,submission61.py,submission63.py,0,0,2,False
81,submission62.py,submission63.py,0,0,3,False
90,submission62.py,submission66.py,0,0,3,False
94,submission67.py,submission68.py,1,3,0,False
120,submission79.py,submission80.py,1,3,1,False
127,submission83.py,submission84.py,0,0,3,False
129,submission83.py,submission85.py,0,0,3,False
132,submission83.py,submission86.py,0,0,3,False
133,submission84.py,submission86.py,0,0,3,False
165,submission102.py,submission104.py,1,2,3,False
169,submission104.py,submission105.py,1,3,0,False
171,submission103.py,submission106.py,0,0,3,False
174,submission107.py,submission108.py,1,3,2,False
175,submission107.py,submission109.py,1,3,1,False
180,submission107.py,submission111.py,0,0,3,False
182,submission109.py,submission111.py,0,0,3,False
184,submission112.py,submission113.py,1,2,3,False
187,submission112.py,submission115.py,1,2,3,False
190,submission112.py,submission116.py,1,3,0,False
191,submission113.py,submission116.py,1,3,0,False
193,submission115.py,submission116.py,1,3,0,False
196,submission118.py,submission119.py,0,0,3,False
197,submission117.py,submission120.py,0,0,3,False
201,submission118.py,submission121.py,0,0,3,False
203,submission120.py,submission121.py,0,0,3,False
206,submission123.py,submission124.py,0,0,3,False
208,submission123.py,submission125.py,0,0,3,False
209,submission124.py,submission125.py,0,0,3,False
211,submission123.py,submission126.py,0,0,3,False
221,submission128.py,submission131.py,0,0,3,False
222,submission129.py,submission131.py,1,3,0,False
235,submission137.py,submission139.py,0,0,3,False
236,submission138.py,submission139.py,1,3,0,False
238,submission138.py,submission140.py,0,0,3,False
239,submission139.py,submission140.py,0,0,3,False
252,submission143.py,submission146.py,0,0,2,False
