row_index,file_a,file_b,label,clone_type_original,linear_svc_pred,linear_svc_acerto,logistic_regression_pred,logistic_regression_acerto,random_forest_pred,random_forest_acerto
0,submission1.py,submission2.py,1,1,1,True,1,True,1,True
1,submission1.py,submission4.py,1,3,3,True,3,True,3,True
2,submission2.py,submission4.py,1,3,3,True,3,True,3,True
3,submission6.py,submission7.py,1,2,2,True,2,True,2,True
4,submission8.py,submission9.py,1,2,2,True,2,True,3,False
5,submission14.py,submission15.py,1,2,2,True,2,True,2,True
6,submission18.py,submission19.py,1,2,2,True,2,True,2,True
7,submission20.py,submission21.py,1,2,2,True,2,True,2,True
8,submission24.py,submission25.py,1,2,2,True,2,True,2,True
9,submission26.py,submission27.py,1,2,2,True,2,True,2,True
10,submission28.py,submission29.py,1,2,2,True,2,True,2,True
11,submission31.py,submission32.py,1,1,1,True,1,True,1,True
12,submission33.py,submission34.py,1,4,3,True,3,True,3,True
13,submission35.py,submission37.py,1,2,2,True,2,True,2,True
14,submission35.py,submission39.py,1,2,2,True,2,True,2,True
15,submission40.py,submission42.py,1,2,2,True,2,True,2,True
16,submission40.py,submission44.py,1,2,2,True,2,True,2,True
17,submission45.py,submission47.py,1,2,2,True,2,True,3,False
18,submission47.py,submission49.py,1,2,2,True,2,True,2,True
19,submission50.py,submission52.py,1,0,3,True,3,True,3,True
20,submission52.py,submission54.py,1,3,3,True,3,True,3,True
21,submission55.py,submission58.py,1,0,3,True,2,False,3,True
22,submission56.py,submission60.py,1,2,2,True,2,True,2,True
23,submission61.py,submission62.py,1,3,3,True,3,True,3,True
24,submission65.py,submission66.py,1,2,2,True,2,True,2,True
25,submission67.py,submission68.py,1,3,3,True,3,True,3,True
26,submission73.py,submission74.py,1,3,3,True,3,True,3,True
27,submission77.py,submission78.py,1,3,3,True,3,True,3,True
28,submission78.py,submission81.py,1,3,3,True,3,True,3,True
29,submission82.py,submission83.py,1,4,3,True,3,True,3,True
30,submission82.py,submission85.py,1,3,3,True,3,True,3,True
31,submission89.py,submission90.py,1,4,3,True,3,True,3,True
32,submission92.py,submission93.py,1,4,3,True,3,True,2,False
33,submission94.py,submission95.py,1,4,3,True,3,True,3,True
34,submission97.py,submission98.py,1,0,3,True,3,True,3,True
35,submission97.py,submission100.py,1,0,3,True,3,True,3,True
36,submission102.py,submission103.py,1,2,2,True,2,True,2,True
37,submission103.py,submission104.py,1,3,3,True,3,True,3,True
38,submission102.py,submission105.py,1,3,3,True,3,True,3,True
39,submission107.py,submission108.py,1,0,3,True,3,True,2,False
40,submission107.py,submission109.py,1,3,3,True,3,True,3,True
41,submission108.py,submission110.py,1,3,3,True,3,True,3,True
42,submission112.py,submission113.py,1,2,2,True,2,True,2,True
43,submission112.py,submission114.py,1,3,3,True,3,True,3,True
44,submission113.py,submission115.py,1,0,2,False,2,False,2,False
45,submission117.py,submission118.py,1,3,3,True,3,True,3,True
46,submission117.py,submission119.py,1,4,3,True,3,True,3,True
47,submission118.py,submission120.py,1,4,3,True,3,True,2,False
48,submission122.py,submission123.py,1,3,3,True,3,True,3,True
49,submission122.py,submission124.py,1,3,3,True,3,True,3,True
50,submission123.py,submission125.py,1,3,3,True,3,True,3,True
51,submission127.py,submission128.py,1,3,3,True,3,True,3,True
52,submission128.py,submission129.py,1,3,3,True,3,True,3,True
53,submission129.py,submission130.py,1,3,3,True,3,True,3,True
54,submission132.py,submission133.py,1,1,1,True,1,True,1,True
55,submission133.py,submission134.py,1,4,3,True,3,True,3,True
56,submission132.py,submission135.py,1,2,2,True,2,True,2,True
57,submission137.py,submission138.py,1,3,3,True,3,True,3,True
58,submission138.py,submission139.py,1,3,3,True,3,True,3,True
59,submission137.py,submission140.py,1,3,3,True,3,True,3,True
60,submission139.py,submission150.py,1,2,2,True,2,True,2,True
61,submission142.py,submission143.py,1,3,3,True,3,True,3,True
62,submission143.py,submission144.py,1,3,3,True,3,True,3,True
63,submission143.py,submission145.py,1,3,3,True,3,True,3,True
64,submission147.py,submission148.py,1,2,2,True,2,True,2,True
65,submission148.py,submission149.py,1,1,1,True,1,True,1,True
66,submission131.py,submission151.py,1,2,2,True,2,True,2,True
67,submission119.py,submission152.py,1,2,2,True,2,True,2,True
68,submission130.py,submission153.py,1,2,2,True,2,True,2,True
69,submission142.py,submission154.py,1,2,2,True,2,True,2,True
70,submission145.py,submission155.py,1,2,2,True,2,True,2,True
71,submission147.py,submission156.py,1,2,2,True,2,True,2,True
72,submission122.py,submission157.py,1,2,2,True,2,True,2,True
73,submission115.py,submission158.py,1,2,2,True,2,True,2,True
74,submission105.py,submission159.py,1,2,2,True,2,True,2,True
75,submission87.py,submission160.py,1,2,2,True,2,True,2,True
76,submission131.py,submission161.py,1,2,2,True,2,True,2,True
77,submission162.py,submission163.py,1,2,2,True,2,True,2,True
78,submission162.py,submission164.py,1,2,2,True,2,True,2,True
79,submission162.py,submission164.py,1,2,2,True,2,True,2,True
80,submission162.py,submission165.py,1,2,2,True,2,True,2,True
81,submission163.py,submission164.py,1,2,2,True,2,True,2,True
82,submission163.py,submission165.py,1,2,2,True,2,True,2,True
83,submission164.py,submission165.py,1,2,2,True,2,True,2,True
84,submission166.py,submission167.py,1,2,2,True,2,True,2,True
85,submission166.py,submission168.py,1,2,2,True,2,True,2,True
86,submission166.py,submission169.py,1,2,2,True,2,True,2,True
87,submission167.py,submission168.py,1,2,2,True,2,True,2,True
88,submission167.py,submission169.py,1,2,2,True,2,True,2,True
89,submission168.py,submission169.py,1,2,2,True,2,True,2,True
90,submission170.py,submission171.py,1,2,2,True,2,True,2,True
91,submission170.py,submission172.py,1,2,2,True,2,True,2,True
92,submission170.py,submission173.py,1,2,2,True,2,True,2,True
93,submission170.py,submission174.py,1,2,2,True,2,True,2,True
94,submission171.py,submission172.py,1,2,2,True,2,True,2,True
95,submission171.py,submission173.py,1,2,2,True,2,True,2,True
96,submission171.py,submission174.py,1,2,2,True,2,True,2,True
97,submission172.py,submission173.py,1,2,2,True,2,True,2,True
98,submission172.py,submission174.py,1,2,2,True,2,True,2,True
99,submission173.py,submission174.py,1,2,2,True,2,True,2,True
100,submission175.py,submission176.py,1,1,1,True,1,True,1,True
101,submission177.py,submission178.py,1,1,1,True,1,True,1,True
102,submission179.py,submission180.py,1,1,1,True,1,True,1,True
103,submission181.py,submission182.py,1,1,1,True,1,True,1,True
104,submission183.py,submission184.py,1,1,1,True,1,True,1,True
105,submission185.py,submission186.py,1,1,1,True,1,True,1,True
106,submission187.py,submission188.py,1,1,1,True,1,True,1,True
107,submission189.py,submission190.py,1,1,1,True,1,True,1,True
108,submission191.py,submission192.py,1,1,1,True,1,True,1,True
109,submission193.py,submission194.py,1,1,1,True,1,True,1,True
110,submission195.py,submission196.py,1,1,1,True,1,True,1,True
111,submission197.py,submission198.py,1,1,1,True,1,True,1,True
112,submission199.py,submission200.py,1,1,1,True,1,True,1,True
113,submission201.py,submission202.py,1,1,1,True,1,True,1,True
114,submission203.py,submission204.py,1,1,1,True,1,True,1,True
115,submission205.py,submission206.py,1,1,1,True,1,True,1,True
116,submission207.py,submission208.py,1,1,1,True,1,True,1,True
117,submission209.py,submission210.py,1,1,1,True,1,True,1,True
118,submission211.py,submission212.py,1,1,1,True,1,True,1,True
119,submission213.py,submission214.py,1,1,1,True,1,True,1,True
120,submission215.py,submission216.py,1,1,1,True,1,True,1,True
121,submission217.py,submission218.py,1,1,1,True,1,True,1,True
122,submission219.py,submission220.py,1,1,1,True,1,True,1,True
123,submission221.py,submission222.py,1,1,1,True,1,True,1,True
124,submission223.py,submission224.py,1,1,1,True,1,True,1,True
125,submission225.py,submission226.py,1,1,1,True,1,True,1,True
126,submission227.py,submission228.py,1,1,1,True,1,True,1,True
127,submission229.py,submission230.py,1,1,1,True,1,True,1,True
128,submission231.py,submission232.py,1,1,1,True,1,True,1,True
129,submission233.py,submission234.py,1,1,1,True,1,True,1,True
130,submission235.py,submission236.py,1,1,1,True,1,True,1,True
131,submission237.py,submission238.py,1,1,1,True,1,True,1,True
132,submission239.py,submission240.py,1,1,1,True,1,True,1,True
133,submission241.py,submission242.py,1,1,1,True,1,True,1,True
134,submission243.py,submission244.py,1,1,1,True,1,True,1,True
135,submission245.py,submission246.py,1,1,1,True,1,True,1,True
136,submission247.py,submission248.py,1,1,1,True,1,True,1,True
137,submission249.py,submission250.py,1,1,1,True,1,True,1,True
138,submission251.py,submission252.py,1,1,1,True,1,True,1,True
139,submission253.py,submission254.py,1,1,1,True,1,True,1,True
140,submission255.py,submission256.py,1,1,1,True,1,True,1,True
141,submission257.py,submission258.py,1,1,1,True,1,True,1,True
142,submission259.py,submission260.py,1,1,1,True,1,True,1,True
143,submission261.py,submission262.py,1,1,1,True,1,True,1,True
144,submission263.py,submission264.py,1,1,1,True,1,True,1,True
145,submission265.py,submission266.py,1,1,1,True,1,True,1,True
146,submission267.py,submission268.py,1,1,1,True,1,True,1,True
147,submission269.py,submission270.py,1,1,1,True,1,True,1,True
148,submission271.py,submission272.py,1,1,1,True,1,True,1,True
149,submission273.py,submission274.py,1,1,1,True,1,True,1,True
150,submission275.py,submission276.py,1,1,1,True,1,True,1,True
151,submission277.py,submission278.py,1,1,1,True,1,True,1,True
152,submission279.py,submission280.py,1,1,1,True,1,True,1,True
153,submission281.py,submission282.py,1,3,3,True,3,True,3,True
154,submission283.py,submission284.py,1,3,2,False,3,True,3,True
155,submission285.py,submission286.py,1,3,3,True,3,True,3,True
156,submission287.py,submission288.py,1,3,3,True,3,True,3,True
157,submission289.py,submission290.py,1,3,3,True,3,True,3,True
158,submission291.py,submission292.py,1,3,3,True,3,True,3,True
159,submission293.py,submission294.py,1,3,3,True,3,True,3,True
160,submission295.py,submission296.py,1,3,3,True,3,True,3,True
161,submission297.py,submission298.py,1,3,3,True,3,True,3,True
162,submission299.py,submission300.py,1,3,3,True,3,True,3,True
163,submission301.py,submission302.py,1,3,3,True,3,True,3,True
164,submission303.py,submission304.py,1,3,3,True,3,True,3,True
165,submission305.py,submission306.py,1,3,3,True,3,True,3,True
166,submission307.py,submission308.py,1,3,1,False,1,False,1,False
167,submission309.py,submission310.py,1,3,3,True,3,True,3,True
168,submission311.py,submission312.py,1,3,3,True,3,True,3,True
169,submission313.py,submission314.py,1,3,3,True,3,True,3,True
170,submission315.py,submission316.py,1,3,3,True,3,True,3,True
171,submission317.py,submission318.py,1,3,3,True,3,True,3,True
172,submission319.py,submission320.py,1,3,3,True,3,True,3,True
173,submission321.py,submission322.py,1,3,3,True,3,True,3,True
174,submission323.py,submission324.py,1,3,3,True,3,True,3,True
175,submission325.py,submission326.py,1,3,3,True,3,True,3,True
176,submission327.py,submission328.py,1,3,3,True,3,True,3,True
177,submission329.py,submission330.py,1,3,3,True,3,True,3,True
