file_a,file_b,label,clone_type,error,string_exact_match,string_similarity_ratio,jaccard_similarity,tfidf_cosine_similarity,markov_similarity,kl_divergence_a_to_b,kl_divergence_b_to_a,lexical_statistical_score,ast_node_type_jaccard,ast_sequence_similarity,ast_node_count_similarity,ast_depth_similarity,tree_edit_distance,tree_edit_similarity,apted_available,apted_tree_edit_distance,apted_tree_edit_similarity,structural_score,semantic_runnable,semantic_reason,semantic_function_a,semantic_function_b,semantic_tested_arity,semantic_total_cases,semantic_both_return_count,semantic_matching_return_count,semantic_successful_overlap,semantic_output_similarity,semantic_score,embedding_model,embedding_feature_count,embedding_cosine_similarity,embedding_score
submission1.py,submission2.py,1,1,,True,1.0,1.0,1.0000000000000002,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0,1.0,no,,,1.0,si,ok,add,add,2,7,5,5,0.7142857142857143,1.0,1.0,tfidf,8,1.0000000000000002,1.0000000000000002
submission1.py,submission4.py,1,3,,False,0.6857142857142857,0.8888888888888888,0.9751079077924771,0.9375,0.08294678392952096,1.3032731120611527,0.8648248584391148,0.8888888888888888,0.782608695652174,0.7692307692307692,1.0,4,0.6923076923076923,no,,,0.7965068747677443,si,ok,add,add,2,7,5,5,0.7142857142857143,1.0,1.0,tfidf,9,0.9751079077924775,0.9751079077924775
submission2.py,submission4.py,1,3,,False,0.6857142857142857,0.8888888888888888,0.9751079077924771,0.9375,0.08294678392952096,1.3032731120611527,0.8648248584391148,0.8888888888888888,0.782608695652174,0.7692307692307692,1.0,4,0.6923076923076923,no,,,0.7965068747677443,si,ok,add,add,2,7,5,5,0.7142857142857143,1.0,1.0,tfidf,9,0.9751079077924775,0.9751079077924775
submission6.py,submission7.py,1,2,,False,0.6749482401656315,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0,1.0,no,,,1.0,si,ok,bubble_sort,sort_bubble,1,10,0,0,0.0,0.0,0.0,tfidf,17,1.0000000000000002,1.0000000000000002
submission8.py,submission9.py,1,2,,False,0.8424908424908425,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0,1.0,no,,,1.0,si,ok,fibonacci,fib,1,10,0,0,0.0,0.0,0.0,tfidf,13,1.0,1.0
submission14.py,submission15.py,1,2,,False,0.5980861244019139,1.0,0.9999999999999999,1.0,0.0,0.0,0.9999999999999998,1.0,1.0,1.0,1.0,0,1.0,no,,,1.0,si,ok,is_valid_input,validate_input,1,10,0,0,0.0,0.0,0.25,tfidf,31,1.0000000000000007,1.0000000000000007
submission18.py,submission19.py,1,2,,False,0.42778793418647165,0.9444444444444444,0.9992276181095799,1.0,0.01566433937579916,0.19385937045496146,0.9641361096930496,1.0,1.0,1.0,1.0,0,1.0,no,,,1.0,si,ok,is_valid_integer,validate_input,1,10,0,0,0.0,0.0,0.25,tfidf,37,0.9991070521681165,0.9991070521681165
submission20.py,submission21.py,1,2,,False,0.49901922322479403,0.9512195121951219,0.9997364458076826,1.0,0.07441533506996002,0.07441533506996002,0.9714345400173628,1.0,1.0,1.0,1.0,0,1.0,no,,,1.0,si,ok,validate_input_is_non_negative_integer,validate_non_negative,1,10,0,0,0.0,0.0,0.25,tfidf,42,0.9997385735019941,0.9997385735019941
submission24.py,submission25.py,1,2,,False,0.4870613257710032,0.8235294117647058,0.9991042831323302,1.0,0.21094455420297822,0.21094455420297822,0.9119504366656701,1.0,1.0,1.0,1.0,0,1.0,no,,,1.0,si,ok,main,run_bank_machine,0,1,0,0,0.0,0.0,0.25,tfidf,43,0.9976218306813385,0.9976218306813385
submission26.py,submission27.py,1,2,,False,0.7631103074141049,1.0,1.0000000000000002,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0,1.0,no,,,1.0,si,ok,load_data,read_csv_data,1,10,0,0,0.0,0.0,0.25,tfidf,17,1.0000000000000002,1.0000000000000002
