file_a,file_b,label,clone_type,error,string_similarity_ratio,jaccard_similarity,tfidf_cosine_similarity,entropy_difference,markov_similarity,kl_similarity,ast_node_type_jaccard,ast_sequence_similarity,ast_node_count_similarity,ast_depth_similarity,tree_edit_similarity,apted_tree_edit_similarity,semantic_successful_overlap,semantic_output_similarity,embedding_cosine_similarity
submission1.py,submission2.py,1,1,,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7142857142857143,1.0,1.0
submission1.py,submission3.py,0,0,,0.8135593220338984,0.7777777777777778,0.9400966710533992,0.0,1.0,0.3687661889299847,0.7777777777777778,0.9,1.0,1.0,0.9,0.9,0.2857142857142857,0.0,0.6152205956937419
submission1.py,submission4.py,1,3,,0.6857142857142857,0.8888888888888888,0.975107907792477,0.020700829203118776,0.9375,0.5906290971735253,0.8888888888888888,0.782608695652174,0.7692307692307692,1.0,0.6923076923076923,0.6923076923076923,0.7142857142857143,1.0,0.9645014587223175
submission1.py,submission5.py,0,0,,0.7796610169491526,0.7777777777777778,0.9400966710533992,0.0,1.0,0.3687661889299847,0.7777777777777778,0.9,1.0,1.0,0.9,0.9,0.2857142857142857,0.0,0.6430762298635568
submission2.py,submission3.py,0,0,,0.8135593220338984,0.7777777777777778,0.9400966710533992,0.0,1.0,0.3687661889299847,0.7777777777777778,0.9,1.0,1.0,0.9,0.9,0.2857142857142857,0.0,0.6152205956937419
submission2.py,submission4.py,1,3,,0.6857142857142857,0.8888888888888888,0.975107907792477,0.020700829203118776,0.9375,0.5906290971735253,0.8888888888888888,0.782608695652174,0.7692307692307692,1.0,0.6923076923076923,0.6923076923076923,0.7142857142857143,1.0,0.9645014587223175
submission2.py,submission5.py,0,0,,0.7796610169491526,0.7777777777777778,0.9400966710533992,0.0,1.0,0.3687661889299847,0.7777777777777778,0.9,1.0,1.0,0.9,0.9,0.2857142857142857,0.0,0.6430762298635568
submission3.py,submission4.py,0,0,,0.5333333333333333,0.7,0.9299185591227209,0.020700829203118776,0.9375,0.31013684259192886,0.7,0.6956521739130435,0.7692307692307692,1.0,0.6153846153846154,0.6153846153846154,0.2857142857142857,0.0,0.5765414448560997
submission3.py,submission5.py,0,0,,0.78125,0.7777777777777778,0.9400966710533992,0.0,1.0,0.3687661889299847,0.7777777777777778,0.9,1.0,1.0,0.9,0.9,0.2857142857142857,0.0,0.5561221768730893
submission4.py,submission5.py,0,0,,0.5066666666666667,0.7,0.9299185591227209,0.020700829203118776,0.9375,0.3101368425919288,0.7,0.6956521739130435,0.7692307692307692,1.0,0.6153846153846154,0.6153846153846154,0.2857142857142857,0.0,0.6114886578230454
